    entropy_rank    experimental_rank
chi    3473    6479
circrna    4609    7182
homoeolog    1777    2108
terminu    1519    1446
cellulos    2205    3207
homeolog    1728    1927
arf    3039    5824
diet    1408    1184
southern    1471    1306
randomli    1364    1051
increasingli    1383    1091
deposit    1494    1357
raw    1382    1096
adjac    1363    1060
pepc    3704    6791
bioactiv    1640    1687
conglycinin    2593    4205
meta    1992    2657
inter    1461    1256
c2h2    3172    5978
arbuscular    1684    1772
give    1400    1105
extracellular    1643    1652
intracellular    1570    1506
markedli    1401    1102
lysin    2725    4398
mark    1524    1416
moss    1583    1542
absent    1356    1027
invers    1543    1448
dormanc    2164    3016
preserv    1501    1355
foliar    2165    3019
nonsynonym    1542    1443
peroxid    1415    1162
null    1908    2399
tend    1377    1061
beadchip    1525    1410
allopolyploid    1796    2080
regularli    1373    1036
smaller    1410    1122
quantifi    1421    1145
glyceollin    3504    6483
friendli    1372    1025
srna    2595    4152
pleiotrop    1512    1368
multigen    1395    1078
nevertheless    1409    1126
catabol    1746    1904
rescu    1503    1344
recurr    1590    1535
mitochondria    1720    1816
r2r3    2398    3532
rfo    3321    6219
dt1    2446    3783
sw    2930    4900
hub    2043    2699
clue    1351    984
surfac    1479    1281
pericentromer    1978    2533
speciat    1569    1473
until    1411    1123
herit    1428    1171
o3    4441    7110
biofuel    1949    2467
f1    2022    2671
rise    1394    1068
solanum    1559    1451
diversifi    1567    1435
zip    3170    5901
elimin    1426    1134
gmft5a    2735    4309
petiol    2310    3269
detoxif    1651    1643
declin    1549    1402
heterozyg    1498    1305
infloresc    2918    4865
updat    1389    1056
stimul    1368    1001
arm    1966    2472
cleav    1647    1628
behind    1386    1057
co2    2765    4323
prr    2400    3524
gra    3251    5980
palindrom    1388    1053
onlin    1475    1239
dietari    1387    1048
black    2744    4296
oomycet    1749    1861
eleven    1576    1438
hr    2572    3884
chromatographi    1468    1210
insensit    1716    1739
threat    1381    1016
refin    1520    1321
glycinin    2466    3741
chlorosi    1875    2213
symptom    1562    1399
scenario    1587    1474
proper    1496    1273
nt    1952    2403
era    1580    1458
situ    1469    1208
glyoxalas    4103    6948
northern    1593    1498
hold    1506    1295
habit    1999    2519
conclusionsthi    1380    1017
procedur    1677    1630
genera    1792    1960
xylem    2225    3020
zea    1500    1244
ureid    3032    5117
japanes    1765    1896
allevi    1526    1312
theoret    1435    1128
organel    1610    1500
ac    2284    3208
alkali    2885    4800
cat    2825    4427
anti    1600    1478
nativ    1739    1778
phloem    2092    2724
deliveri    2072    2679
america    1449    1137
alreadi    1499    1243
lipoxygenas    2404    3474
live    1402    1021
ccw    3715    6661
attach    1753    1853
r2    2221    3014
heterogen    1925    2300
meal    1924    2297
mutagen    1582    1432
superior    1558    1374
distinguish    1434    1118
microorgan    1573    1409
document    1419    1074
diurnal    2403    3478
urea    4446    7069
nat    5012    7183
encompass    1459    1138
reli    1460    1139
cope    1412    1046
c2    2561    3834
allotetraploid    1808    1974
resolv    1487    1195
kda    1774    1855
latest    1429    1088
mite    3968    6838
south    1618    1505
dual    1747    1781
fals    2440    3486
chip    1848    2076
arrang    1522    1282
interspac    1430    1093
categor    1453    1107
bacteroid    2471    3493
lupinu    2068    2581
snf    3327    5951
rhizospher    2535    3787
princip    1481    1164
reprogram    1672    1571
acyltransferas    2220    2948
depriv    2084    2606
hd    3517    6391
resili    1574    1359
rsv1    3496    6355
gymnosperm    2184    2838
adjust    1507    1220
choic    1807    1918
etc    1532    1275
easili    1509    1206
match    1630    1490
noncod    1872    2109
backcross    1612    1437
univers    1482    1161
submerg    3164    5807
wound    1850    2008
japan    1735    1692
centromer    1911    2209
leaflet    3245    5862
asian    1568    1326
mip    3344    5989
reason    1454    1100
microsatellit    2050    2534
hard    2935    4789
cc    2413    3418
surround    1508    1205
glucos    2025    2480
face    1480    1160
sweep    2624    3851
conclusionsour    1445    1069
onto    1540    1246
var    1985    2337
mya    1905    2142
versatil    1473    1125
biogenesi    1707    1616
korea    2186    2804
transferas    1629    1465
instead    1472    1121
conclusionsw    1446    1072
massiv    1659    1523
filter    1809    1901
intermedi    1658    1512
rnase    3905    6675
arietinum    1688    1580
blue    2150    2725
interf    1571    1323
prime    2622    3843
broadli    1444    1071
traffick    1904    2133
slow    1859    2005
browser    2064    2527
twelv    1552    1260
must    1581    1322
usda    1767    1754
orf    2554    3737
ln    3632    6406
recov    1704    1575
dark    1912    2124
mda    1553    1261
kind    1531    1222
plastic    1862    1987
utr    1977    2267
puls    2635    3841
destruct    1493    1130
fate    1656    1480
t2    2511    3528
faster    1521    1188
soybas    2437    3273
toc    5503    7212
orphan    2216    2789
carrier    1737    1607
pin    4268    6955
list    1669    1488
retriev    1546    1228
petal    2462    3392
cssl    2564    3579
rosacea    3106    4917
portion    1714    1566
potassium    2348    3145
dgat    3449    6009
sweet    3037    4867
aerial    2096    2522
evolutionarili    1545    1227
trichom    2913    4312
center    1793    1770
gmrav    4867    7135
gα    3448    6008
programm    1646    1434
vesicl    2222    2822
alon    1578    1277
transmiss    2204    2743
scientif    1513    1153
indol    1696    1509
aqp    4245    6901
feasibl    1535    1168
heterosi    2512    3475
fewer    1675    1467
biotyp    2953    4425
underpin    1536    1174
seen    1698    1526
interpret    1764    1683
switch    2024    2314
market    1697    1513
dens    1533    1172
transposit    1847    1897
cyp    3305    5822
isomeras    1828    1837
e4    2411    3225
ever    1534    1176
pubesc    3805    6563
me    3581    6267
aon    3277    5805
stabli    1664    1449
deduc    1510    1108
burst    1874    1942
neutral    1813    1791
cystatin    3913    6602
nn    3030    4791
livestock    1619    1331
fish    2151    2582
lentil    3025    4794
split    1637    1369
sam    3414    5904
suit    1592    1262
a2    1864    1900
prospect    1566    1193
ripen    2687    3816
canopi    3029    4790
preval    1565    1180
quantif    1981    2168
bottleneck    1670    1428
reciproc    1947    2082
planta    1564    1189
fusarium_virguliform    3492    6020
pave    1609    1289
pcd    3279    5160
pisum    1750    1604
shorter    1620    1330
microbi    2075    2402
stop    1838    1836
vacuolar    1937    2050
ec    1991    2199
centuri    1660    1396
hsf    4083    6688
constitu    1585    1212
superoxid    1683    1431
udp    1778    1646
proxim    1826    1746
compart    1849    1795
pathogenesi    1648    1356
tea    4462    6954
hydrolas    1907    1943
matrix    1790    1677
proven    1586    1219
oper    1835    1783
gc    2324    2956
herbicid    2399    3036
analyt    1857    1846
threaten    1557    1155
herbivor    2563    3482
malondialdehyd    1555    1144
unguiculata    1827    1736
cicer    1649    1361
ge    3404    5860
latter    1554    1158
store    1959    2090
em    2145    2513
sugarcan    2933    4280
phasirna    3328    5806
grape    2116    2447
rkn    2817    4159
complic    1614    1290
versu    1743    1560
trial    2435    3151
shotgun    1948    2051
weed    3043    4798
f3    2140    2510
solid    1556    1154
ht    4575    6985
cam    4203    6816
round    1745    1537
epiderm    1801    1662
ring    2655    3581
percept    1678    1377
rn    3109    4851
sr    3811    6434
symbiont    2023    2203
symbios    2119    2404
phenol    1989    2116
diacylglycerol    1956    2031
t1    2447    3148
brassinosteroid    1973    2042
sink    2209    2589
devast    1579    1169
photosystem    2097    2361
side    1775    1598
synthetas    1986    2117
spp    1784    1638
knockdown    1921    1957
coexpress    2001    2141
kg    2594    3481
partit    1834    1741
repair    1881    1852
triplic    1718    1463
brassicacea    1958    1990
knot    1742    1496
eventu    1603    1190
monitor    1727    1430
instanc    2715    3797
phytozom    1972    2030
hi    2237    2605
phenomenon    1636    1270
embryon    2626    3490
freez    3280    5093
ferment    1837    1711
count    2711    3782
break    1768    1561
pp2c    3665    6251
presum    1634    1269
thought    1635    1263
american    2152    2443
merril    1604    1191
prematur    1770    1564
quantiti    1671    1324
micronutri    1987    2063
competit    1633    1274
triacylglycerol    1708    1406
vast    1605    1186
apoplast    2513    3241
terpen    3105    4784
efflux    2002    2114
pairwis    1769    1563
dicotyledon    1962    2007
abstract    1602    1183
bi    2118    2369
myo    2550    3257
kyoto    1625    1223
tyr    4887    7072
resultsth    1627    1216
orient    2149    2390
subclad    2952    4235
calcul    1717    1392
phenom    2984    4282
organogenesi    2185    2451
flax    3964    6569
ck    3921    6455
symbiosom    2652    3514
nin    3506    5903
bsa    2309    2741
rtm    2763    3807
b3    3241    4898
ideal    1624    1209
ab    2951    4229
avoid    1702    1363
huge    1623    1201
rsv3    3809    6392
canon    1810    1597
aromat    3162    4857
mitogen    1662    1298
record    2121    2336
hirsutum    1971    1982
rpp1    3662    6200
chaperon    1889    1789
digit    1811    1613
owe    1626    1204
flow    1888    1785
tremend    1663    1283
dehydrin    4226    6731
poacea    2571    3247
blot    1860    1684
just    1693    1316
uncharacter    1756    1472
encyclopedia    1653    1230
input    1794    1550
slightli    1654    1237
mildew    2299    2704
middl    2287    2666
done    1732    1376
cg    2402    2871
invas    1928    1835
remodel    2120    2292
al2o3    5705    7200
pr    2085    2200
electrophoresi    1795    1543
burp    4244    6729
mbp    2177    2391
stapl    1694    1313
build    1909    1790
feedback    1965    1940
unpreced    1730    1388
benthamiana    1692    1307
scope    1729    1395
coli    1691    1304
easi    2034    2081
hotspot    2255    2576
phosphoproteom    2739    3784
sesam    4442    6832
advent    1652    1234
zucc    1655    1238
soysnp50k    1884    1748
histor    1755    1471
cnv    4189    6666
outcom    1871    1700
everi    1733    1390
copia    2873    3904
pap    3920    6427
epigenom    2161    2365
carboxyl    1731    1389
sp    2162    2366
elus    1679    1257
trace    1725    1338
tir    2762    3738
dtf    3480    5818
liquid    1680    1259
haploid    2180    2345
nest    2633    3275
prepar    1763    1444
agp    5880    7211
emphasi    1723    1349
imag    2242    2512
billion    1722    1348
vq    3717    6223
ef1α    6827    7218
scientist    1752    1419
ascorb    1994    1961
conjug    2625    3287
pan    2292    2652
acc    3444    5156
net    1783    1503
flexibl    1751    1426
obviou    1724    1337
transcrib    2124    2244
indetermin    2826    3829
onset    1906    1747
speed    1899    1734
tyrosin    2008    1988
east    2321    2701
section    2045    2078
genistein    2642    3416
agent    1744    1352
tp    4225    6669
brachypodium    2691    3469
unevenli    1713    1285
neutron    2769    3550
learn    1980    1890
descript    1779    1440
soyasaponin    3813    6237
greatest    1780    1441
replac    1833    1559
vigor    2820    3795
deplet    1990    1907
soya    3337    4959
hidden    1781    1459
japonicum    2126    2196
option    1818    1538
spontan    1961    1839
cu    2877    3842
histidin    2182    2304
physcomitrella    1920    1740
ichinoh    1711    1276
volatil    2408    2818
papilionoidea    2322    2659
beyond    1709    1286
transpir    2235    2413
sm    3906    6326
cook    2917    3885
true    1817    1528
aux    3935    6421
lod    2141    2222
endosperm    2456    2883
deleteri    3046    4283
sativum    1782    1452
quickli    1816    1534
chosen    1710    1280
resid    1712    1287
oligosaccharid    1900    1704
proton    2269    2543
hsp70    3235    4804
nam    2125    2201
ahl    6623    7216
cy    2936    3918
vitamin    2323    2665
pyramid    1960    1845
wm82    2510    3023
sv    3577    5828
tfl1    3863    6246
sap    2949    3916
blight    2472    2876
millet    3713    6014
unsatur    2481    2952
maxim    1772    1385
fat    2202    2298
pollut    2155    2216
cs    3926    6339
mid    2531    3017
meloidogyne_incognita    3924    6337
permeabl    3668    5945
nl    3453    5132
cytogenet    2347    2660
vi    2514    3003
nodulin    2355    2709
h3    3450    5131
fn    4089    6445
singleton    2156    2225
rsv4    3975    6429
sacpd    4086    6447
hypoxia    3488    5766
dosag    2841    3801
lyas    1897    1651
polypeptid    1898    1655
rhythm    2183    2245
glucosid    2780    3541
citrat    3168    4737
explant    2840    3802
p34    5794    7193
elicit    2154    2215
nanoparticl    3671    5948
temper    2020    1926
spl    4275    6715
andean    2416    2787
meja    2461    2862
calmodulin    2260    2449
rf    4084    6441
strawberri    3864    6247
acet    1806    1476
pseudogen    1771    1393
own    1773    1381
mlo    5121    7124
farmer    1896    1641
neighbor    2147    2169
emphas    1760    1341
atla    2372    2661
resultsher    1761    1329
likelihood    1843    1522
emiss    3044    4221
represent    1940    1690
error    2261    2396
intact    1951    1731
immatur    1938    1689
dof    3970    6399
alpha    2047    1944
flux    2046    1920
accept    1842    1508
reserv    2381    2681
gmsacpd    5116    7086
transmit    2000    1844
constant    2239    2313
thirti    1887    1579
c4    3052    4231
correct    1844    1515
lea    3413    4948
reproduc    1903    1627
fusarium    2354    2604
paleopolyploid    1799    1422
outlin    1841    1514
gametophyt    3331    4868
degener    2203    2243
distort    3038    4215
dt    3927    6273
cassava    3515    5800
ag    4582    6822
bnf    3711    5976
terpenoid    2979    3920
rnaseq    2562    3030
believ    1757    1333
phosphoprotein    3150    4308
extra    2954    3890
gossypium_hirsutum    3036    4216
st    3240    4738
tcp    4210    6603
autophagi    3329    4861
conclusionth    1759    1335
rlp    5718    7178
alanin    2882    3812
bring    1758    1334
train    2723    3454
durabl    1840    1521
dismutas    1798    1408
fuse    1939    1685
concept    1886    1601
top    1885    1595
bia    2465    2794
hydroxylas    1975    1738
coil    2538    2959
bias    2181    2161
cbl    4893    6956
altogeth    1829    1464
malat    3705    5940
discrimin    2093    1981
alcohol    2262    2349
gradual    1974    1735
endo    3179    4401
acp    3808    5985
egg    2548    2964
queri    2095    1991
physcomitrella_paten    3489    5133
phytochrom    2138    2053
mrp    5834    7199
acbp    5731    7171
leguminosa    2487    2857
stronger    1832    1457
fact    1830    1450
undertaken    1788    1372
repertoir    1879    1545
persist    2094    1973
rais    1831    1439
ni    4211    6570
absciss    4085    6402
invertas    5059    7041
citru    3800    5954
permit    2021    1843
cryptochrom    4091    6412
svp    5047    7016
grna    3132    4264
hypogaea    2044    1889
wri1    4541    6717
grapevin    3802    5957
gmsalt3    4593    6819
daidzein    2074    1966
intergen    1878    1544
aquaporin    2374    2601
subpopul    2485    2842
weak    1789    1373
none    1787    1371
inclus    1785    1365
inde    1786    1366
supplement    1993    1774
stressor    1927    1639
conform    2009    1804
rag2    4274    6626
mitig    1982    1710
absorpt    2015    1779
rag1    4104    6398
cue    1820    1382
triterpenoid    3242    4321
zfn    2920    3794
zfp    5781    7172
gave    1963    1679
rapese    3304    4752
constrain    1867    1493
subclass    2601    3013
promin    1823    1386
trichocarpa    1870    1475
track    1917    1565
hamper    1868    1494
converg    2114    1984
warm    1964    1675
rga    5879    7195
prerequisit    1822    1394
threonin    1983    1729
prokaryot    1919    1578
monocotyledon    2515    2854
chh    3107    4212
alway    1942    1614
lycopersicum    1821    1383
aphi    1941    1599
cortic    2409    2599
primordia    2244    2248
solanacea    2357    2529
cajan    1913    1572
plu    1916    1574
phylogenom    2178    2118
exert    1914    1573
gi    3333    4837
aldehyd    3045    4173
polar    2351    2514
markov    1915    1568
ligand    2035    1828
multiplex    2436    2656
broaden    1866    1487
syndrom    2070    1902
cassett    2036    1833
hinder    1869    1495
farm    1918    1577
neofunction    2218    2188
golgi    2534    2866
lec1    5494    7134
bridg    2122    1963
tgm9    5497    7126
excis    2479    2711
machin    2066    1841
al3    3865    5949
flavonol    3412    4858
interspecif    2285    2295
gmsnap11    4668    6826
met    3249    4307
mini    2187    2066
safeti    2383    2518
chimer    2600    2943
strength    2006    1688
cajanu    1901    1524
ammonia    1851    1417
ozon    3177    4285
sar    4460    6635
viabl    2555    2865
mir166    5895    7197
difficulti    1902    1525
bond    2103    1917
workflow    2745    3259
sanger    2067    1842
brazil    2356    2456
selaginella    3246    4303
closur    3287    4403
phospholipid    2123    1958
siliqu    2509    2742
biparent    2146    2003
peopl    1976    1649
paten    2005    1702
bip    5050    6980
macronutri    2412    2575
avenu    1852    1425
pd    4576    6683
turnov    2886    3538
ft2a    3110    4203
intra    1953    1605
abnorm    2065    1840
smoke    6521    7202
hydropon    1854    1415
papilionoid    3454    4876
autoregul    2004    1730
carrot    5729    7160
plot    2869    3515
stachyos    3345    4788
phytoalexin    2473    2710
cannot    1853    1414
snare    3167    4265
xyloglucan    2871    3521
dap    3667    5816
diamet    2693    3147
missens    2175    2047
tune    1954    1603
watermelon    3666    5813
briefli    1890    1460
export    2283    2241
dt2    3915    5950
pseudo    2421    2521
contributor    1997    1653
player    1946    1547
biodiesel    2623    2951
f5    2621    2944
catalas    2334    2356
hb    5153    7056
lt    2934    3549
dongnong    2806    3380
harm    2017    1680
b1    2414    2516
gtpase    3910    5946
bradyrhizobium_japonicum    3320    4402
usag    2115    1899
enlarg    2358    2415
internod    2207    2056
popular    1892    1454
gamma    2547    2798
t0    3289    4314
decay    2223    2110
deliv    2294    2257
viti    2646    3010
delimit    1945    1557
juvenil    2335    2357
gmsnap18    4188    6395
terrestri    2052    1769
aco    4581    6664
chitin    3706    5819
oa    5663    7125
ox    3407    4792
deterior    2764    3230
qph    7003    7215
mi    4153    6338
callu    3299    4322
hilum    3712    5827
nadp    2843    3461
pose    1893    1462
tmt3    5817    7166
immedi    2163    1980
come    1891    1461
asymmetr    2142    1936
inhibitori    2645    3005
tifi    4251    6457
week    2073    1788
fingerprint    2224    2111
lethal    2872    3485
rg    4896    6885
know    1998    1650
gypsi    3283    4306
boundari    2293    2266
perceiv    2039    1695
get    2241    2065
autonom    3154    4180
angustifoliu    2634    2875
ppi    3335    4408
crosstalk    2384    2397
acclim    2914    3473
escherichia    1933    1485
copper    2948    3540
castor    3583    4923
stain    2099    1797
yb    4263    6453
stand    2176    1941
trna    3311    4305
triticum    2040    1686
pebp    4437    6461
revolut    2353    2341
accordingli    1930    1483
chitinas    3669    5149
clean    2256    2128
taxonom    2100    1806
abstractsoybean    1929    1482
drastic    1932    1489
pedigre    2876    3456
mlg    2881    3472
cog    5123    7004
hydrolysi    2206    1989
distantli    1931    1484
zipper    2102    1807
disord    3092    3853
constan    2240    2079
tm    3409    4750
poli    2553    2744
glycitein    3870    5875
callos    3814    5852
nsf    3048    3852
fm    3931    5958
aspart    2352    2340
ga3    2868    3390
mesoamerican    2463    2539
sequenti    2101    1820
hai    3408    4740
kbp    2314    2249
glycosid    2415    2439
criteria    2038    1694
alloc    2686    3011
indispens    1935    1486
fourteen    2041    1696
usa    1984    1587
sclerotiorum    3227    4222
glucosyltransferas    2944    3530
fluctuat    2098    1819
psii    3630    5082
nahco3    3576    4901
inactiv    2042    1697
pseudomolecul    2482    2594
nitric    2552    2730
heterochromatin    2805    3233
fifteen    1934    1477
apex    2870    3266
aros    2088    1742
glutam    2768    3066
western    2159    1873
insuffici    1969    1519
invert    2158    1879
antisens    2960    3525
peach    4101    6196
nuclei    2777    3153
thread    2291    2145
hsp    2883    3414
fall    2030    1618
bicarbon    3486    4839
cnl    4687    6727
specul    1970    1520
transgress    2637    2858
strigolacton    2938    3480
phenylalanin    2189    1919
tri    2603    2796
nhx    5024    6879
stimulu    2878    3284
aglycon    2558    2708
elicitor    2508    2588
a1    2713    3004
lc    2254    2052
mottl    2268    2115
phospholipas    2682    2946
pacbio    2349    2293
brassica_rapa    4262    6426
ovul    3582    4899
necrosi    2089    1733
imper    2117    1786
broader    1967    1527
ncbi    2330    2242
enrei    2382    2335
eqtl    5018    6872
built    1968    1518
spatiotempor    2190    1916
exclud    2029    1617
spread    2091    1743
imput    3966    5953
polysaccharid    2420    2395
qualit    2032    1619
cacao    4204    6325
coeffici    2289    2143
karyotyp    2778    3158
glucan    2956    3523
ongo    2090    1737
rank    2442    2405
sut    4874    6806
injuri    2484    2532
amplicon    2188    1913
amp    3807    5810
preliminari    2027    1629
silicon    4550    6585
crossov    4659    6672
curat    2290    2144
join    2031    1612
regim    2732    3027
suffer    2033    1620
rad    2532    2607
dispers    2157    1872
fuel    2026    1610
disulfid    3284    4237
behavior    2028    1611
proanthocyanidin    3479    4802
kefeng    3098    3846
lupinus_angustifoliu    3447    4751
canada    2377    2288
mung    3491    4801
ppo    7110    7214
suppressor    2081    1658
zhonghuang    2179    1854
ic    5724    7091
sprout    4463    6452
hsw    4897    6807
posttranscript    2079    1668
spite    2014    1556
aa    2638    2799
trypsin    2641    2802
dimer    2346    2221
compil    2271    2058
recalcitr    2013    1555
saur    5779    7129
paralogu    2766    3028
trihelix    4688    6716
ecosystem    2077    1667
w82    3979    5947
m2    3324    4260
lj    3708    5130
mendelian    2441    2352
annexin    5045    6878
apparatu    2148    1775
recruit    2311    2125
path    2012    1554
pyruv    2640    2801
qihuang    3442    4409
anticip    2011    1553
hdac    5157    7001
matric    3232    4160
knock    2078    1654
smrna    5743    7130
pdi    5501    7050
width    2617    2726
v1    2273    2059
beet    3589    4870
sister    2272    2057
task    2082    1659
band    3166    3902
radiata    2589    2678
regardless    2080    1669
anther    2916    3286
cucurbitacea    4272    6410
sgrna    3332    4278
rosid    2767    3029
biodivers    2639    2800
powderi    2560    2655
spc    5155    6994
blp    4986    6831
phosphatidylinositol    3451    4720
outer    2378    2263
rj4    6624    7187
bpmv    3181    4157
nadph    2804    3059
arid    2376    2287
spatio    2219    1928
brazilian    3631    4896
wax    3673    4919
incomplet    2135    1709
run    2333    2136
ammonium    2986    3484
rs2    4090    5943
interactom    3243    3919
cut    2133    1720
innat    2211    1848
wider    2063    1593
aestivum    2129    1706
d2    2724    2879
iib    3810    5136
postul    2212    1849
actual    2128    1705
rpp4    4610    6589
harosoy    2957    3452
oscil    3153    3839
abstractth    2054    1588
homeobox    3244    3978
ap    4194    6191
cyclin    5054    6848
antiport    2722    2864
forti    2057    1589
crk    5484    7005
durat    2214    1850
lowest    2265    1993
arginin    2331    2134
cipk    4206    6227
fad3    3481    4727
big    2264    1992
aris    2130    1707
tricarboxyl    2507    2450
embrapa    3010    3492
trim    4200    6210
bimolecular    2055    1581
raimondii    2213    1856
shorten    2480    2393
carboxylas    2297    2043
cap    2533    2479
viz    2880    3229
note    2137    1722
eu3    7122    7213
evidenc    2056    1569
gibberel    2298    2044
glutamin    2296    2046
nannong    2373    2202
attenu    2238    1906
bryophyt    2332    2135
atareb1    6863    7192
boost    2131    1719
nor    2136    1701
unexplor    2062    1583
scarc    2060    1592
deal    2134    1721
fourth    2058    1590
today    2061    1582
ml    3011    3487
diagnost    3169    3888
mlm    2842    3164
dose    3338    4262
consecut    2132    1708
gmnac81    6801    7184
closest    2210    1847
arachis_duranensi    4895    6734
cuc2    3139    3835
freeli    2059    1591
dreb    2619    2662
subfunction    2267    1986
sclerotinia    2266    1976
fr    2928    3268
sclerotinia_sclerotiorum    3866    5768
quinoa    5485    7006
purif    2460    2265
woodi    2839    3047
infinium    2559    2509
bicolor    2194    1759
g19833    3100    3578
lag    2258    1909
receiv    2201    1745
pg    4661    6587
landscap    2288    1964
flavor    2329    2055
barrier    2327    2054
lac    5728    7065
unveil    2112    1634
dead    3812    5107
vacuol    2590    2528
pve    3248    3898
florigen    2937    3239
phaseolea    2955    3270
bioavail    2591    2538
situat    2110    1626
urgent    2113    1635
bifc    2417    2218
tap    4205    6195
deeper    2104    1622
dpi    3596    4806
chill    3709    4955
strengthen    2111    1633
transactiv    2458    2289
lox    4102    5900
lr    3899    5153
su    5671    7015
contamin    2328    2049
download    2418    2207
f4    3099    3548
pro    2736    2868
dmr    3629    4807
packag    3158    3811
page    2459    2290
principl    2108    1632
tofu    3967    5850
desicc    3702    4920
prolong    2200    1763
move    2199    1753
catalys    2457    2264
enter    2196    1760
africa    2326    2048
natto    3165    3836
custom    2195    1752
partli    2107    1624
polyunsatur    2193    1751
exact    2197    1761
leverag    2419    2219
thick    2620    2600
r1    3247    3897
output    2106    1631
outsid    2259    1905
camta    4588    6459
hiseq    2105    1623
ss    4197    6007
tuber    3595    4803
spectral    3503    4729
aggreg    2643    2672
amf    4087    5891
sieb    2109    1625
rc    4436    6272
mechanist    2198    1762
d1    3056    3537
japonica    2978    3385
oac    3965    5845
gmmyb176    5014    6735
cytosin    2503    2363
apx    4468    6409
ap1    3816    5125
scan    2504    2387
ax    4868    6650
peroxisom    5072    6836
iselect    2257    1908
tandemli    2915    3212
gmgbp1    7118    7209
edu    2170    1671
renew    2407    2131
isozym    2818    2955
novelti    2319    1971
inventori    3053    3494
agreement    2168    1663
impos    2251    1802
moieti    2919    3149
strip    3012    3404
rdna    3055    3488
immunoprecipit    2250    1801
o2    2406    2130
thorough    2253    1811
ds    2740    2820
korean    2741    2821
ser    2829    3002
snpldb    3054    3495
revolution    2172    1665
cerevisia    2169    1670
ef    4469    6341
cool    3312    3924
european    2874    3026
synergist    2345    2024
mycorrhiza    3091    3500
peptidas    5462    6943
ethyl    2171    1664
sph    7043    7204
mutualist    2445    2187
xanthomona    3112    3539
equal    2316    1967
iqd    5825    7095
enorm    2248    1809
soykb    3862    5104
solv    2174    1672
inner    2252    1810
sterol    4440    6261
trifolium    3111    3545
f6    2405    2127
wgr    3861    5092
oleosin    4481    6336
tribe    2710    2722
npa    4259    6211
fail    2249    1800
w4    3580    4723
born    2246    1792
tr    4605    6446
nitrogenas    2731    2797
hierarch    2486    2299
h1    4256    6209
bc    7128    7207
cre    5038    6730
nm    3022    3453
hydrophob    2518    2346
distal    2573    2454
shsp    3579    4722
com    2444    2186
pmd    6514    7145
sinorhizobium    2726    2793
ft5a    3672    4859
compet    2517    2355
bayesian    2516    2354
bear    2245    1798
back    2315    1968
compromis    2247    1799
kasp    2819    2961
pangenom    3349    4202
dmg    4602    6443
mir1511    5816    7081
radicl    3799    4910
gy    5037    6726
manual    2318    1970
cr    4691    6620
indirect    2317    1969
abr    2823    2963
kinet    2618    2526
saccharomyc    2173    1656
threshold    2320    1972
antibodi    2654    2564
prone    2234    1718
glycol    2395    2029
mammal    2569    2368
mimic    2392    2027
glycoprotein    3171    3786
sunflow    4459    6244
micro    2391    2026
conclusionsin    2229    1727
vpd    5498    6951
magnitud    2389    2023
sc    3804    4890
gmo    3695    4855
optic    2695    2650
dicer    2474    2204
mock    2304    1876
empti    2387    2035
prioriti    2393    2028
occupi    2306    1868
ar    3113    3499
substanc    2567    2388
penetr    2396    2039
recommend    2397    2040
recycl    2477    2195
transcriptas    2636    2517
repeatedli    2478    2206
cim    2821    2869
mixtur    2824    2870
oxygenas    3501    4290
cdpk    4676    6482
edamam    4264    6019
plasmid    3301    3858
papaya    4894    6623
pinpoint    2233    1717
tnt1    5144    6845
charact    2228    1714
clark    3502    4295
dir    5826    7076
homogen    2388    2036
diminish    2230    1728
pme    7117    7205
id    2742    2728
heterotrimer    2694    2653
becam    2300    1865
fulfil    2302    1866
amirna    4587    6401
amylas    3860    4922
wg    2743    2727
fructos    4190    5896
solanum_lycopersicum    4577    6340
kd    3817    4911
nll    4607    6422
affymetrix    2385    2033
jack    2822    2867
below    2227    1713
bio    2386    2034
brassica_napu    3815    4904
njcms1a    4608    6428
aldh    5147    6847
omega    2475    2205
heterozygos    2438    2112
glucuronidas    2231    1715
bcmv    5798    7053
radic    2307    1869
assum    2476    2210
mammalian    2390    2037
related    2394    2038
gaba    4082    5809
vicin    2308    1878
g7    4152    5864
isolin    3330    3900
f7    2439    2113
neither    2305    1877
gather    2303    1867
viabil    2568    2367
sort    3441    4213
expedit    2301    1859
matsumura    2232    1716
rpl4    7094    7198
gsh    3923    5083
cn    3411    4150
ground    2556    2291
topolog    2782    2732
gmfwl1    5727    6984
toxin    3108    3457
paradigm    2280    1767
dai    5114    6739
indirectli    2370    1924
avirul    2688    2525
phb    5857    7077
soc1    3478    4217
dtm    5021    6644
groundnut    3584    4302
absolut    2598    2334
alkaloid    2737    2673
genbank    3326    3849
gt8    5786    7009
sbr    4984    6605
polyethylen    2365    1932
amelior    2942    3032
nomenclatur    2362    1930
resembl    2281    1758
kaempferol    4448    6192
gatl    5742    7003
infiltr    3922    4958
pha    4886    6572
sc3    3914    4921
sudden    2367    1934
kea    4449    6197
gmnf    4875    6566
respir    2470    2122
keep    2361    1921
pharmaceut    2364    1922
irrig    2649    2474
gmnark    3976    5151
save    2690    2541
inher    2278    1756
lycophyt    2929    3012
strongest    2467    2120
potent    2557    2294
unusu    2369    1923
feedstock    2597    2333
efficaci    2689    2540
elabor    2276    1766
inact    2360    1914
pongamia    4889    6590
vinifera    2282    1768
